CustomerID,first_purchase,last_purchase,frequency,line_items,total_units,total_revenue,avg_unit_price,avg_basket_size,country,recency_days,tenure_days,orders_per_day,revenue_per_order,units_per_order,days_since_first_purchase,days_since_last_purchase,purchase_span_days,is_inactive_90d,is_high_value,is_repeat_customer,source_row_count
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,34,74285,77556.46,6.1000000000000005,2184.8529411764707,United Kingdom,326,400,0.03,6463.038333333334,6190.416666666667,726,326,400,True,True,True,34
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,253,3286,5633.32,2.546086956521739,12.988142292490119,Iceland,2,402,0.01990049751243781,704.165,410.75,404,2,402,False,True,True,253
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,51,2714,2019.4,3.7862745098039214,53.21568627450981,Finland,75,362,0.013812154696132596,403.88,542.8,438,75,362,False,False,True,51
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,4,175,1624,4428.69,8.459657142857143,9.28,Italy,19,570,0.007017543859649123,1107.1725,406.0,589,19,570,False,True,True,175
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,17,197,334.4,3.841176470588235,11.588235294117647,Norway,310,0,,334.4,197.0,310,310,0,True,False,False,17
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,21,261,300.93,2.355238095238095,12.428571428571429,Unspecified,375,0,,300.93,261.0,375,375,0,True,False,False,21
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,10,103,724,2849.84,13.676796116504855,7.029126213592233,Norway,36,356,0.028089887640449437,284.98400000000004,72.4,393,36,356,False,True,True,103
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,24,212,406.76,2.6283333333333334,8.833333333333334,Bahrain,204,204,0.00980392156862745,203.38,106.0,409,204,204,True,False,True,24
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,58,530,1079.4,4.5037931034482765,9.137931034482758,Spain,232,0,,1079.4,530.0,232,232,0,True,False,False,58
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,35,543,947.61,3.069428571428572,15.514285714285714,Bahrain,214,353,0.0056657223796034,473.805,271.5,568,214,353,True,False,True,35
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,143,3417,6373.68,3.1486013986013988,23.895104895104897,Portugal,23,401,0.014962593516209476,1062.28,569.5,425,23,401,False,True,True,143
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,3,296,6587,18287.66,6.196993243243243,22.25337837837838,Switzerland,33,355,0.008450704225352112,6095.886666666666,2195.6666666666665,389,33,355,False,True,True,296
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,77,1079,3887.07,5.3680519480519475,14.012987012987013,Austria,2,730,0.00684931506849315,777.414,215.8,732,2,730,False,True,True,77
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,365,2752,8935.94,7.374109589041097,7.53972602739726,Cyprus,58,676,0.014792899408284023,893.594,275.2,734,58,676,False,True,True,365
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,8,217,2459,4252.89,3.2079723502304147,11.331797235023041,Austria,52,603,0.013266998341625208,531.61125,307.375,656,52,603,False,True,True,217
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,29,235,511.25,3.8706896551724137,8.10344827586207,Belgium,287,394,0.01015228426395939,127.8125,58.75,682,287,394,True,False,True,29
12362,2009-12-01 10:10:00,2011-12-06 15:40:00,11,267,2230,5356.23,4.413071161048689,8.352059925093632,Belgium,3,735,0.014965986394557823,486.92999999999995,202.72727272727272,739,3,735,False,True,True,267
