CustomerID,Recency,Frequency,Monetary,Country,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,kmeans_cluster,dbscan_cluster,pca_1,pca_2,persona
12346,326,12,77556.46,United Kingdom,2,5,5,255,12,0,-1,3.3541534661092753,2.423591213039341,Big Spenders
12347,2,8,5633.32,Iceland,5,4,5,545,14,0,0,0.5366720925990448,-0.7982881653057678,Big Spenders
12348,75,5,2019.4,Finland,3,4,4,344,11,0,0,0.09986707122396606,-0.5951413641247933,Big Spenders
12349,19,4,4428.69,Italy,5,3,5,535,13,0,0,0.24666757251163107,-0.7939555717676813,Big Spenders
12350,310,1,334.4,Norway,2,1,2,212,5,0,0,-0.5751938606052995,0.35950195318223604,Big Spenders
12351,375,1,300.93,Unspecified,2,1,2,212,5,0,0,-0.6851976984420703,0.6455232427921135,Big Spenders
12352,36,10,2849.84,Norway,4,5,4,454,13,0,0,0.46243735692017285,-0.6953246743101206,Big Spenders
12353,204,2,406.76,Bahrain,2,2,2,222,6,0,0,-0.3428082469407489,-0.09615925573407245,Big Spenders
12354,232,1,1079.4,Spain,2,1,3,213,6,0,0,-0.4123232805335111,0.03343348509714406,Big Spenders
12355,214,2,947.61,Bahrain,2,2,3,223,7,0,0,-0.3358216735839906,-0.038865296931080685,Big Spenders
12356,23,6,6373.68,Portugal,4,4,5,445,13,0,0,0.42959515143980626,-0.7082777749372405,Big Spenders
12357,33,3,18287.66,Switzerland,4,3,5,435,12,0,0,0.7779819393924304,-0.4051619703647977,Big Spenders
12358,2,5,3887.07,Austria,5,4,5,545,14,0,0,0.3035522050215645,-0.8718175515282264,Big Spenders
12359,58,10,8935.94,Cyprus,4,5,5,455,14,0,0,0.6922221092139258,-0.4500942014870531,Big Spenders
12360,52,8,4252.89,Austria,4,4,5,445,13,0,0,0.3927298318276148,-0.6112474289362702,Big Spenders
12361,287,4,511.25,Belgium,2,3,2,232,7,0,0,-0.37239488525170006,0.2933332697284267,Big Spenders
12362,3,11,5356.23,Belgium,5,5,5,555,15,0,0,0.679516641541548,-0.769597949181036,Big Spenders
12363,110,2,552.0,Unspecified,3,2,2,322,7,0,0,-0.17948510570273613,-0.5074328371986244,Big Spenders
12364,8,4,1313.1,Belgium,5,3,4,534,12,0,0,0.12859854562274897,-0.9183365729004666,Big Spenders
12365,291,2,641.38,Cyprus,2,2,3,223,7,0,0,-0.47780794708945307,0.29347082478697967,Big Spenders
12366,634,1,500.24,Cyprus,1,1,2,112,4,0,0,-1.1089522721081453,1.7933060322664434,Big Spenders
12367,4,1,168.9,Denmark,5,1,1,511,7,0,0,-0.0714772726380739,-0.9948623379263792,Big Spenders
12368,628,1,917.7,Cyprus,1,1,3,113,5,0,0,-1.0806520800449193,1.7769906502328838,Big Spenders
12369,413,3,1791.15,Austria,1,3,4,134,8,0,0,-0.5789590667773541,0.8701683530053621,Big Spenders
12370,51,7,4320.31,Cyprus,4,4,5,445,13,0,0,0.34513588250856986,-0.6243599114112052,Big Spenders
12371,45,5,4067.38,Switzerland,4,4,5,445,13,0,0,0.23964614144944688,-0.6776753995867678,Big Spenders
12372,72,3,1298.04,Denmark,3,3,4,334,10,0,0,-0.031145473306787446,-0.6466207645108856,Big Spenders
12373,311,3,1127.65,Austria,2,3,3,233,8,0,0,-0.43769349519853706,0.40390557250125847,Big Spenders
12374,25,4,2989.2200000000003,Austria,4,3,5,435,12,0,0,0.17361181352205793,-0.8025179013796455,Big Spenders
12375,11,2,457.5,Finland,5,2,2,522,9,0,0,-0.01831150248004151,-0.9466064654692544,Big Spenders
12376,390,2,503.15,Switzerland,2,2,2,222,6,0,0,-0.6491731952968043,0.7269793520984579,Big Spenders
12377,315,4,3426.32,Switzerland,2,3,5,235,10,0,0,-0.291493867668879,0.4878518739165036,Big Spenders
12378,130,2,5416.32,Switzerland,3,2,5,325,10,0,0,0.00013544423280342964,-0.3007685899827632,Big Spenders
12379,82,4,1620.22,Belgium,3,3,4,334,10,0,0,0.01848137039911085,-0.5843089042406416,Big Spenders
12380,22,11,9676.3,Belgium,4,5,5,455,14,0,0,0.8369733699429664,-0.5805946675255438,Big Spenders
12381,5,5,1845.31,Norway,5,4,4,544,13,0,0,0.20913058831696182,-0.9082793767369184,Big Spenders
12383,185,5,1850.56,Belgium,3,4,4,344,11,0,0,-0.09120663237322206,-0.11383646438195813,Big Spenders
12384,29,2,585.27,Switzerland,4,2,2,422,8,0,0,-0.04277294823714213,-0.8640647833879402,Big Spenders
12385,379,1,1938.4,Belgium,2,1,4,214,7,0,0,-0.6201693543352845,0.7030338952175315,Big Spenders
12386,338,2,660.8,Australia,2,2,3,223,7,0,0,-0.5554389285949469,0.5013480481763275,Big Spenders
12387,415,1,143.94,Australia,1,1,1,111,3,0,0,-0.7588652541361091,0.8182162712554608,Big Spenders
12388,16,8,3901.11,Australia,5,4,5,545,14,0,0,0.43743820904059433,-0.7786734619267628,Big Spenders
12389,403,3,1433.33,Australia,2,3,4,234,9,0,0,-0.5779304432040147,0.8173297004738159,Big Spenders
12390,80,1,549.84,Belgium,3,1,2,312,6,0,0,-0.18170137847555318,-0.6502120233313624,Big Spenders
12391,22,6,2773.42,Cyprus,4,4,4,444,12,0,0,0.2736034220744638,-0.8003279691410053,Big Spenders
12392,591,1,234.75000000000003,Australia,1,1,1,111,3,0,0,-1.0487763865096151,1.5970904334135398,Big Spenders
12393,72,6,2399.4500000000003,Australia,3,4,4,344,11,0,0,0.17373576711774352,-0.588788038377369,Big Spenders
12394,64,2,1272.48,Belgium,3,2,4,324,9,0,0,-0.07112245433566868,-0.6928865934048728,Big Spenders
12395,19,15,5067.27,Belgium,5,5,5,555,15,0,0,0.8490103261443988,-0.6646629908463582,Big Spenders
12396,674,1,931.43,RSA,1,1,3,113,5,0,0,-1.1568624190148544,1.9803165061908568,Big Spenders
12397,36,2,2409.9,Belgium,4,2,4,424,10,0,0,0.0254420004480752,-0.7887597071707733,Big Spenders
12398,46,1,1635.66,Switzerland,4,1,4,414,9,0,0,-0.07737767175879005,-0.773818352052662,Big Spenders
12399,119,7,1962.3,Belgium,3,4,4,344,11,0,0,0.1283270078290054,-0.38168386233777685,Big Spenders
12400,414,1,205.25,Australia,1,1,1,111,3,0,0,-0.7545105669394753,0.8152958141676737,Big Spenders
12401,303,1,84.3,Belgium,2,1,1,211,4,0,0,-0.5744574460039135,0.32252400029774336,Big Spenders
12402,323,6,1256.9,Belgium,2,4,4,244,10,0,0,-0.29542261336741216,0.491028374111536,Big Spenders
12403,50,2,1019.36,Denmark,4,2,3,423,9,0,0,-0.05882956909023365,-0.7608280912978335,Big Spenders
12404,682,1,63.24,Finland,1,1,1,111,3,0,0,-1.2082404838854572,1.9944859666860417,Big Spenders
12405,149,1,1710.39,Finland,3,1,4,314,8,0,0,-0.24609630660783238,-0.3174745169955292,Big Spenders
12406,22,5,6390.36,Denmark,4,4,5,445,13,0,0,0.37977921068638887,-0.7226253677231252,Big Spenders
12407,50,5,1708.12,Belgium,4,4,4,444,12,0,0,0.12798102164187042,-0.7130400689446375,Big Spenders
12408,33,8,4340.77,Belgium,4,4,5,445,13,0,0,0.4283047775125481,-0.6929526322482175,Big Spenders
12409,79,7,23419.29,Switzerland,3,4,5,345,12,0,0,1.1347580154767398,-0.03589345321278766,Big Spenders
12410,309,3,1013.71,Switzerland,2,3,3,233,8,0,0,-0.4393434880444321,0.3923063277155482,Big Spenders
12411,410,1,346.9,Australia,2,1,2,212,5,0,0,-0.7416282015326526,0.8010924036897751,Big Spenders
12412,75,6,2596.93,Denmark,3,4,4,344,11,0,0,0.17737430215740335,-0.5707424057088167,Big Spenders
12413,67,4,999.45,France,3,3,3,333,9,0,0,0.016344050336482233,-0.6656125801316193,Big Spenders
12414,217,6,952.41,Austria,2,4,3,243,9,0,0,-0.13175611000070883,0.01585314838747755,Big Spenders
12415,24,28,144458.37,Australia,4,5,5,455,14,1,-1,7.623646706874814,2.884881677886528,Champions
12416,657,1,202.56,Australia,1,1,1,111,3,0,0,-1.1603939883290393,1.887555742475461,Big Spenders
12417,3,20,6816.91,Belgium,5,5,5,555,15,0,0,1.213428153338651,-0.6409753642718468,Big Spenders
12418,113,4,2021.2,Switzerland,3,3,4,334,10,0,0,-0.015723367749022474,-0.4377495563446418,Big Spenders
12419,386,2,503.01,Spain,2,2,2,222,6,0,0,-0.6425000566436208,0.7093244971785099,Big Spenders
12420,64,1,600.39,Cyprus,3,1,2,312,6,0,0,-0.15277062949524403,-0.7195873261803966,Big Spenders
12421,16,6,1098.6,Spain,5,4,3,543,12,0,0,0.2102790922947941,-0.8675735167519042,Big Spenders
12422,96,17,5231.8,Switzerland,3,5,5,355,13,0,0,0.8320718464226223,-0.30018614555182327,Big Spenders
12423,1,10,2622.39,Belgium,5,5,4,554,14,0,0,0.5109205402332643,-0.8553114114638164,Big Spenders
12424,163,4,3340.03,Australia,3,3,5,335,11,0,0,-0.04146041371667167,-0.1850035803627174,Big Spenders
12425,78,2,1741.41,Portugal,3,2,4,324,9,0,0,-0.07396465035264702,-0.6196918602693798,Big Spenders
12426,195,2,1345.21,Germany,2,2,4,224,8,0,0,-0.28668355905684617,-0.11303131290547579,Big Spenders
12427,22,3,1129.3,Germany,4,3,3,433,10,0,0,0.044955981978111736,-0.8713713124770368,Big Spenders
12428,26,9,7956.46,Finland,4,5,5,455,14,0,0,0.6505469558417967,-0.6254889812479907,Big Spenders
12429,9,8,7485.91,Denmark,5,4,5,545,14,0,0,0.606111457533869,-0.7223024882944706,Big Spenders
12430,43,1,256.4,Norway,4,1,1,411,6,0,0,-0.13276837544867706,-0.8206308089875592,Big Spenders
12431,36,27,10857.97,Australia,4,5,5,455,14,0,0,1.7008025402335853,-0.32459838142736125,Big Spenders
12432,43,5,5059.32,Norway,4,4,5,445,13,0,0,0.286424526361606,-0.6623553737640185,Big Spenders
12433,1,10,20581.26,Norway,5,5,5,555,15,0,0,1.2973701916129667,-0.4181575779989313,Big Spenders
12434,85,3,1103.43,Australia,3,3,3,333,9,0,0,-0.06137540410594115,-0.5939907476057106,Big Spenders
12435,80,6,13925.93,Denmark,3,4,5,345,12,0,0,0.6651415132812679,-0.2729081971604455,Big Spenders
12436,100,1,509.01,Norway,3,1,2,312,6,0,0,-0.21688574151422352,-0.5629486697251928,Big Spenders
12437,2,39,12683.4,France,5,5,5,555,15,0,0,2.4641094810538338,-0.3061121078071751,Big Spenders
12438,14,2,2906.85,Norway,5,2,4,524,11,0,0,0.08394027361834927,-0.8737459361527186,Big Spenders
12439,683,2,1158.18,Cyprus,1,2,3,123,6,0,0,-1.109744800950783,2.035892552847135,Big Spenders
12440,462,2,859.2,Austria,1,2,3,123,6,0,0,-0.7538080073372435,1.0533723486242161,Big Spenders
12441,367,1,347.1,France,2,1,2,212,5,0,0,-0.6698172961430625,0.611344216317287,Big Spenders
12442,3,1,172.06,Spain,5,1,1,511,7,0,0,-0.06966907345698498,-0.9991982791407279,Big Spenders
12443,732,1,485.31,Norway,1,1,2,112,4,0,0,-1.2732481849316974,2.2254030596871344,Big Spenders
12444,21,5,5005.46,Norway,4,4,5,445,13,0,0,0.32080188699804846,-0.7607493897064348,Big Spenders
12445,22,2,434.98,Spain,4,2,2,422,8,0,0,-0.037665682924981514,-0.8986131666993957,Big Spenders
12446,58,1,1002.31,RSA,4,1,3,413,8,0,0,-0.12515096062654207,-0.7362809820458867,Big Spenders
12447,243,1,476.49,Belgium,2,1,2,212,5,0,0,-0.4570937323342917,0.06729896216081058,Big Spenders
12448,44,1,449.45,Spain,4,1,2,412,7,0,0,-0.1259842029439521,-0.8115187346610413,Big Spenders
12449,22,6,4835.89,Belgium,4,4,5,445,13,0,0,0.36392251300173795,-0.7501234369568356,Big Spenders
12450,156,5,688.2,Spain,3,4,3,343,10,0,0,-0.09368366216624113,-0.2701035591631314,Big Spenders
12451,11,8,12669.88,Switzerland,5,4,5,545,14,0,0,0.8297867407228998,-0.5872888499371175,Big Spenders
12452,17,2,430.57,Switzerland,5,2,2,522,9,0,0,-0.029509717506108892,-0.9207848234882127,Big Spenders
12453,134,1,707.09,Austria,3,1,3,313,7,0,0,-0.2649852700167449,-0.4080897172705756,Big Spenders
12454,56,5,16679.78,Spain,4,4,5,445,13,0,0,0.773596730692713,-0.3221235677064101,Big Spenders
12455,73,10,5879.95,Cyprus,3,5,5,355,13,0,0,0.53334781661903,-0.4582900168630847,Big Spenders
12456,44,3,3181.04,Switzerland,4,3,5,435,12,0,0,0.0980692056322445,-0.7243450106055601,Big Spenders
12457,66,8,2995.91,Switzerland,3,4,5,345,12,0,0,0.31430708325845785,-0.5800647028321428,Big Spenders
12458,71,4,1777.49,Switzerland,3,3,4,334,10,0,0,0.04373648394972031,-0.629022125864255,Big Spenders
12459,605,1,454.36,Spain,1,1,2,112,4,0,0,-1.0625367320027013,1.6642162327152525,Big Spenders
12460,456,1,326.65,Belgium,1,1,2,112,4,0,0,-0.8193265828545775,1.0035911203421493,Big Spenders
12461,94,2,826.88,Switzerland,3,2,3,323,8,0,0,-0.14073056211318877,-0.5713475114300909,Big Spenders
12462,19,2,1189.59,Spain,5,2,3,523,10,0,0,0.00038943250346167214,-0.8934830765466579,Big Spenders
12463,53,4,1344.78,Belgium,4,3,4,434,11,0,0,0.054844085244907345,-0.7189866407839817,Big Spenders
12464,10,8,1212.05,Belgium,5,4,3,543,12,0,0,0.3296985739318392,-0.8706075842672198,Big Spenders
12465,17,2,742.1899999999999,Belgium,5,2,3,523,10,0,0,-0.015863344412314986,-0.9131993864543498,Big Spenders
12466,682,1,56.73,France,1,1,1,111,3,0,0,-1.2085255679264064,1.994327500621314,Big Spenders
12467,423,1,132.8,USA,1,1,1,111,3,0,0,-0.7727116327861996,0.8532479960785841,Big Spenders
12468,188,5,3670.74,Germany,3,4,5,345,12,0,0,-0.016507287310779974,-0.056291156869528076,Big Spenders
12469,523,2,3070.54,Thailand,1,2,5,125,8,0,0,-0.7588285041047065,1.3763852336997766,Big Spenders
12470,690,1,211.95,Unspecified,1,1,1,111,3,0,0,-1.215086757474759,2.03340875148562,Big Spenders
12471,2,79,39963.79,Germany,5,5,5,555,15,0,-1,5.747412600587117,0.7715758437396288,Big Spenders
12472,32,19,17880.59,Germany,4,5,5,455,14,0,0,1.5972847267759316,-0.25403163307225846,Big Spenders
12473,29,5,3938.55,Germany,4,4,5,445,13,0,0,0.2607215332461198,-0.7514171606064403,Big Spenders
12474,17,31,12424.45,Germany,5,5,5,555,15,0,0,2.009992725822759,-0.32894856553659657,Big Spenders
12475,54,2,1149.64,Germany,4,2,3,423,9,0,0,-0.05980365442711412,-0.740005375600057,Big Spenders
12476,16,23,14115.41,Germany,5,5,5,555,15,0,0,1.6679829444594476,-0.37492620864942877,Big Spenders
