CustomerID,Recency,Frequency,Monetary,Country,R_Score,F_Score,M_Score,RFM_Score,RFM_Total
12346,326,12,77556.46,United Kingdom,2,5,5,255,12
12347,2,8,5633.32,Iceland,5,4,5,545,14
12348,75,5,2019.4,Finland,3,4,4,344,11
12349,19,4,4428.69,Italy,5,3,5,535,13
12350,310,1,334.4,Norway,2,1,2,212,5
12351,375,1,300.93,Unspecified,2,1,2,212,5
12352,36,10,2849.84,Norway,4,5,4,454,13
12353,204,2,406.76,Bahrain,2,2,2,222,6
12354,232,1,1079.4,Spain,2,1,3,213,6
12355,214,2,947.61,Bahrain,2,2,3,223,7
12356,23,6,6373.68,Portugal,4,4,5,445,13
12357,33,3,18287.66,Switzerland,4,3,5,435,12
12358,2,5,3887.07,Austria,5,4,5,545,14
12359,58,10,8935.94,Cyprus,4,5,5,455,14
12360,52,8,4252.89,Austria,4,4,5,445,13
12361,287,4,511.25,Belgium,2,3,2,232,7
12362,3,11,5356.23,Belgium,5,5,5,555,15
12363,110,2,552.0,Unspecified,3,2,2,322,7
12364,8,4,1313.1,Belgium,5,3,4,534,12
12365,291,2,641.38,Cyprus,2,2,3,223,7
12366,634,1,500.24,Cyprus,1,1,2,112,4
12367,4,1,168.9,Denmark,5,1,1,511,7
12368,628,1,917.6999999999999,Cyprus,1,1,3,113,5
12369,413,3,1791.15,Austria,1,3,4,134,8
12370,51,7,4320.31,Cyprus,4,4,5,445,13
12371,45,5,4067.38,Switzerland,4,4,5,445,13
12372,72,3,1298.04,Denmark,3,3,4,334,10
12373,311,3,1127.65,Austria,2,3,3,233,8
12374,25,4,2989.2200000000003,Austria,4,3,5,435,12
12375,11,2,457.5,Finland,5,2,2,522,9
12376,390,2,503.15,Switzerland,2,2,2,222,6
12377,315,4,3426.32,Switzerland,2,3,5,235,10
12378,130,2,5416.32,Switzerland,3,2,5,325,10
12379,82,4,1620.22,Belgium,3,3,4,334,10
12380,22,11,9676.300000000001,Belgium,4,5,5,455,14
12381,5,5,1845.31,Norway,5,4,4,544,13
12383,185,5,1850.56,Belgium,3,4,4,344,11
12384,29,2,585.27,Switzerland,4,2,2,422,8
12385,379,1,1938.4,Belgium,2,1,4,214,7
12386,338,2,660.8,Australia,2,2,3,223,7
12387,415,1,143.94,Australia,1,1,1,111,3
12388,16,8,3901.11,Australia,5,4,5,545,14
12389,403,3,1433.33,Australia,2,3,4,234,9
12390,80,1,549.84,Belgium,3,1,2,312,6
12391,22,6,2773.42,Cyprus,4,4,4,444,12
12392,591,1,234.75000000000003,Australia,1,1,1,111,3
12393,72,6,2399.4500000000003,Australia,3,4,4,344,11
12394,64,2,1272.48,Belgium,3,2,4,324,9
12395,19,15,5067.27,Belgium,5,5,5,555,15
12396,674,1,931.43,RSA,1,1,3,113,5
12397,36,2,2409.9,Belgium,4,2,4,424,10
12398,46,1,1635.6599999999999,Switzerland,4,1,4,414,9
12399,119,7,1962.3,Belgium,3,4,4,344,11
12400,414,1,205.25,Australia,1,1,1,111,3
12401,303,1,84.3,Belgium,2,1,1,211,4
12402,323,6,1256.9,Belgium,2,4,4,244,10
12403,50,2,1019.36,Denmark,4,2,3,423,9
12404,682,1,63.24,Finland,1,1,1,111,3
12405,149,1,1710.39,Finland,3,1,4,314,8
12406,22,5,6390.36,Denmark,4,4,5,445,13
12407,50,5,1708.1200000000001,Belgium,4,4,4,444,12
12408,33,8,4340.7699999999995,Belgium,4,4,5,445,13
12409,79,7,23419.29,Switzerland,3,4,5,345,12
12410,309,3,1013.71,Switzerland,2,3,3,233,8
12411,410,1,346.9,Australia,2,1,2,212,5
12412,75,6,2596.93,Denmark,3,4,4,344,11
12413,67,4,999.45,France,3,3,3,333,9
12414,217,6,952.41,Austria,2,4,3,243,9
12415,24,28,144458.37,Australia,4,5,5,455,14
12416,657,1,202.56,Australia,1,1,1,111,3
12417,3,20,6816.91,Belgium,5,5,5,555,15
12418,113,4,2021.2,Switzerland,3,3,4,334,10
12419,386,2,503.01,Spain,2,2,2,222,6
12420,64,1,600.39,Cyprus,3,1,2,312,6
12421,16,6,1098.6,Spain,5,4,3,543,12
12422,96,17,5231.8,Switzerland,3,5,5,355,13
12423,1,10,2622.39,Belgium,5,5,4,554,14
12424,163,4,3340.03,Australia,3,3,5,335,11
12425,78,2,1741.41,Portugal,3,2,4,324,9
12426,195,2,1345.21,Germany,2,2,4,224,8
12427,22,3,1129.3,Germany,4,3,3,433,10
12428,26,9,7956.46,Finland,4,5,5,455,14
12429,9,8,7485.91,Denmark,5,4,5,545,14
12430,43,1,256.4,Norway,4,1,1,411,6
12431,36,27,10857.97,Australia,4,5,5,455,14
12432,43,5,5059.32,Norway,4,4,5,445,13
12433,1,10,20581.26,Norway,5,5,5,555,15
12434,85,3,1103.43,Australia,3,3,3,333,9
12435,80,6,13925.93,Denmark,3,4,5,345,12
12436,100,1,509.01,Norway,3,1,2,312,6
12437,2,39,12683.4,France,5,5,5,555,15
12438,14,2,2906.85,Norway,5,2,4,524,11
12439,683,2,1158.18,Cyprus,1,2,3,123,6
12440,462,2,859.2,Austria,1,2,3,123,6
12441,367,1,347.1,France,2,1,2,212,5
12442,3,1,172.06,Spain,5,1,1,511,7
12443,732,1,485.31,Norway,1,1,2,112,4
12444,21,5,5005.46,Norway,4,4,5,445,13
12445,22,2,434.98,Spain,4,2,2,422,8
12446,58,1,1002.3100000000001,RSA,4,1,3,413,8
12447,243,1,476.49,Belgium,2,1,2,212,5
12448,44,1,449.45,Spain,4,1,2,412,7
12449,22,6,4835.89,Belgium,4,4,5,445,13
12450,156,5,688.2,Spain,3,4,3,343,10
12451,11,8,12669.88,Switzerland,5,4,5,545,14
12452,17,2,430.57,Switzerland,5,2,2,522,9
12453,134,1,707.09,Austria,3,1,3,313,7
12454,56,5,16679.78,Spain,4,4,5,445,13
12455,73,10,5879.95,Cyprus,3,5,5,355,13
12456,44,3,3181.04,Switzerland,4,3,5,435,12
12457,66,8,2995.91,Switzerland,3,4,5,345,12
12458,71,4,1777.49,Switzerland,3,3,4,334,10
12459,605,1,454.36,Spain,1,1,2,112,4
12460,456,1,326.65,Belgium,1,1,2,112,4
12461,94,2,826.88,Switzerland,3,2,3,323,8
12462,19,2,1189.59,Spain,5,2,3,523,10
12463,53,4,1344.78,Belgium,4,3,4,434,11
12464,10,8,1212.05,Belgium,5,4,3,543,12
12465,17,2,742.1899999999999,Belgium,5,2,3,523,10
12466,682,1,56.73,France,1,1,1,111,3
12467,423,1,132.8,USA,1,1,1,111,3
12468,188,5,3670.74,Germany,3,4,5,345,12
12469,523,2,3070.54,Thailand,1,2,5,125,8
12470,690,1,211.95,Unspecified,1,1,1,111,3
12471,2,79,39963.79,Germany,5,5,5,555,15
12472,32,19,17880.59,Germany,4,5,5,455,14
12473,29,5,3938.5499999999997,Germany,4,4,5,445,13
12474,17,31,12424.45,Germany,5,5,5,555,15
12475,54,2,1149.64,Germany,4,2,3,423,9
12476,16,23,14115.41,Germany,5,5,5,555,15
12477,23,9,20276.37,Germany,4,5,5,455,14
12478,4,1,680.99,Greece,5,1,3,513,9
12479,11,1,527.2,Germany,5,1,2,512,8
12480,28,7,5464.85,Germany,4,4,5,445,13
12481,23,15,12361.39,Germany,4,5,5,455,14
12482,576,29,23691.4,Sweden,1,5,5,155,11
12483,17,19,5120.58,Sweden,5,5,5,555,15
12484,33,12,6370.15,Spain,4,5,5,455,14
12485,529,1,708.1,Sweden,1,1,3,113,5
12486,432,1,1037.28,Sweden,1,1,3,113,5
12487,731,1,285.29999999999995,Sweden,1,1,1,111,3
12488,10,3,1298.66,France,5,3,4,534,12
12489,336,1,334.93,France,2,1,2,212,5
12490,5,21,9823.64,France,5,5,5,555,15
12491,39,1,460.40000000000003,France,4,1,2,412,7
12492,63,3,715.21,Germany,3,3,3,333,9
12493,166,2,433.74,France,3,2,2,322,7
12494,16,9,1872.8700000000001,France,5,5,4,554,14
12495,641,1,357.4,Sweden,1,1,2,112,4
12496,620,2,54.09,Spain,1,2,1,121,4
12497,82,3,6248.5,Germany,3,3,5,335,11
12498,21,3,403.70000000000005,Germany,4,3,2,432,9
12499,560,1,393.72,Germany,1,1,2,112,4
12500,23,19,5955.21,Germany,4,5,5,455,14
12501,337,1,2169.39,Germany,2,1,4,214,7
12502,96,5,3723.87,Spain,3,4,5,345,12
12503,584,1,1126.0,Spain,1,1,3,113,5
12504,18,4,779.05,Germany,5,3,3,533,11
12505,409,1,955.2,Italy,2,1,3,213,6
12506,233,1,73.5,France,2,1,1,211,4
12507,134,4,1844.06,Spain,3,3,4,334,10
12508,26,2,398.27,France,4,2,2,422,8
12509,284,1,176.5,France,2,1,1,211,4
12510,143,9,5178.02,Spain,3,5,5,355,13
12511,429,1,3084.02,Greece,1,1,5,115,7
12512,66,2,138.03,Israel,3,2,1,321,6
12513,113,1,612.29,France,3,1,2,312,6
12514,267,2,1597.76,Italy,2,2,4,224,8
12515,353,1,383.7,Italy,2,1,2,212,5
12516,78,4,2648.62,Germany,3,3,4,334,10
12517,28,5,2502.84,Germany,4,4,4,444,12
12518,1,5,2056.89,Germany,5,4,4,544,13
12519,64,2,726.54,Germany,3,2,3,323,8
12520,79,5,2634.26,Germany,3,4,4,344,11
12521,143,1,599.68,Germany,3,1,2,312,6
12522,39,2,192.72,Germany,4,2,1,421,7
12523,19,23,4372.15,France,5,5,5,555,15
12524,9,17,11126.11,Germany,5,5,5,555,15
12525,498,3,973.73,France,1,3,3,133,7
12526,1,3,1316.66,Germany,5,3,4,534,12
12527,82,5,735.51,Germany,3,4,3,343,10
12528,9,6,1933.48,Germany,5,4,4,544,13
12529,528,1,316.48,France,1,1,2,112,4
12530,60,9,3759.26,Germany,3,5,5,355,13
12531,15,2,1933.2,Germany,5,2,4,524,11
12532,30,1,349.83000000000004,France,4,1,2,412,7
12533,628,2,1367.89,Germany,1,2,4,124,7
12534,131,1,1089.18,Germany,3,1,3,313,7
12535,92,2,716.35,France,3,2,3,323,8
12536,43,3,12601.830000000002,France,4,3,5,435,12
12537,409,1,732.94,Sweden,2,1,3,213,6
12538,29,2,640.45,Spain,4,2,3,423,9
12539,22,7,11214.75,Spain,4,4,5,445,13
12540,20,33,22254.49,Spain,4,5,5,455,14
12541,30,3,981.18,Spain,4,3,3,433,10
12542,484,2,481.88,Spain,1,2,2,122,5
12543,448,1,980.25,Spain,1,1,3,113,5
12544,36,1,372.7,Spain,4,1,2,412,7
12545,75,2,1000.39,Spain,3,2,3,323,8
12546,47,2,1161.5,Spain,4,2,3,423,9
12547,198,3,383.58,Spain,2,3,2,232,7
12548,166,1,95.19999999999999,Spain,3,1,1,311,5
12549,576,6,1575.68,USA,1,4,4,144,9
12550,79,1,964.83,Spain,3,1,3,313,7
12551,358,1,168.0,Spain,2,1,1,211,4
12552,39,2,437.82,Italy,4,2,2,422,8
12553,8,12,4608.75,France,5,5,5,555,15
12554,449,1,468.5,Spain,1,1,2,112,4
12555,682,1,129.23,Spain,1,1,1,111,3
12556,50,2,603.71,Spain,4,2,2,422,8
12557,16,8,18716.14,Spain,5,4,5,545,14
12558,8,1,269.96,USA,5,1,1,511,7
12559,311,2,561.71,Germany,2,2,2,222,6
12560,5,3,2134.01,Germany,5,3,4,534,12
12561,303,1,238.85,Germany,2,1,1,211,4
12562,8,9,4966.92,France,5,5,5,555,15
12563,409,1,249.24,Italy,2,1,1,211,4
12564,261,1,456.9,France,2,1,2,212,5
12565,289,1,145.92,Saudi Arabia,2,1,1,211,4
12566,86,1,351.65,Germany,3,1,2,312,6
12567,23,15,13709.86,France,4,5,5,455,14
12568,645,1,70.0,Germany,1,1,1,111,3
12569,2,32,4124.69,Germany,5,5,5,555,15
12570,682,1,77.52,Spain,1,1,1,111,3
12571,40,2,519.61,France,4,2,2,422,8
12572,9,2,1020.42,Germany,5,2,3,523,10
12573,227,5,717.41,France,2,4,3,243,9
12574,316,1,218.45,France,2,1,1,211,4
12575,457,2,622.8199999999999,France,1,2,3,123,6
12576,36,8,2142.72,Poland,4,4,4,444,12
12577,35,8,1653.75,France,4,4,4,444,12
12578,21,4,4642.45,Italy,4,3,5,435,12
12579,78,1,440.42,France,3,1,2,312,6
12580,247,2,1052.9,Germany,2,2,3,223,7
12581,40,1,197.71,Germany,4,1,1,411,6
12582,239,4,1980.4,Finland,2,3,4,234,9
