date,total_price,quantity,invoice_count,customer_count,day_of_week,is_weekend,month,year,week,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30
2009-12-01,54513.5,26204,119,91,1,0,12,2009,49,,,,,,,,
2009-12-02,63352.51,31896,115,94,2,0,12,2009,49,54513.5,,,,54513.5,,54513.5,
2009-12-03,74037.91,49243,124,106,3,0,12,2009,49,63352.51,,,,58933.005000000005,6250.123909975704,58933.005000000005,6250.123909975704
2009-12-04,40732.92,21325,89,76,4,0,12,2009,49,74037.91,,,,63967.973333333335,9776.745000153853,63967.973333333335,9776.745000153853
2009-12-05,9803.05,5119,30,26,5,1,12,2009,49,40732.92,,,,58159.21000000001,14095.747149976361,58159.21000000001,14095.747149976361
2009-12-06,24613.64,11623,74,63,6,1,12,2009,49,9803.05,,,,48487.978,24833.066821803746,48487.978,24833.066821803746
2009-12-07,45083.35,18058,101,77,0,0,12,2009,50,24613.64,,,,44508.92166666667,24255.768428231182,44508.92166666667,24255.768428231182
2009-12-08,49517.23,23159,109,91,1,0,12,2009,50,45083.35,54513.5,,,44590.98285714286,22143.45027262442,44590.98285714286,22143.45027262442
2009-12-09,40616.090000000004,17934,88,74,2,0,12,2009,50,49517.23,63352.51,,,43877.229999999996,21848.874121762736,45206.76375,20574.702781764336
2009-12-10,44442.11,23718,92,82,3,0,12,2009,50,40616.090000000004,74037.91,,,40629.17,20090.375179041166,44696.68888888889,19306.609814093103
2009-12-11,39659.6,21394,70,58,4,0,12,2009,50,44442.11,40732.92,,,36401.19857142858,14112.662489516793,44671.231,18202.624320803276
2009-12-12,0.0,0,0,0,5,1,12,2009,50,39659.6,9803.05,,,36247.86714285715,14063.500340148508,44215.62818181818,17334.511592633822
2009-12-13,22313.09,12611,71,63,6,1,12,2009,50,0.0,24613.64,,,34847.43142857143,17260.471354428526,40530.9925,20882.69447907792
2009-12-14,73327.66,45432,90,69,0,0,12,2009,51,22313.09,45083.35,,,34518.78142857143,17507.933347244263,39129.61538461538,20622.233219709993
2009-12-15,50340.24,27096,98,89,1,0,12,2009,51,73327.66,49517.23,54513.5,,38553.68285714286,22802.49372566059,41572.33285714286,21819.694931987277
2009-12-16,52792.25,25006,98,81,2,0,12,2009,51,50340.24,40616.090000000004,63352.51,,38671.25571428571,22870.46538057243,42156.86,21147.507867324293
2009-12-17,31239.47,15593,104,77,3,0,12,2009,51,52792.25,44442.11,74037.91,,40410.70714285714,23497.47993812508,42821.571875,20602.720364721168
2009-12-18,42588.09,17445,68,55,4,0,12,2009,51,31239.47,39659.6,40732.92,,38524.61571428571,23649.33887818351,42140.27176470588,20145.308841268492
2009-12-19,0.0,0,0,0,5,1,12,2009,51,42588.09,0.0,9803.05,,38942.97142857143,23698.61409332863,42165.150555555556,19544.105314055385
2009-12-20,11450.68,6263,34,31,6,1,12,2009,51,0.0,22313.09,24613.64,,38942.97142857143,23698.61409332863,39945.93210526316,21314.902369335556
2009-12-21,16367.84,8790,41,30,0,0,12,2009,52,11450.68,73327.66,45083.35,,37391.19857142858,25272.392705384686,38521.1695,21702.81519111348
