date,total_price,prophet_yhat,lstm_yhat,ensemble_yhat,prophet_residual,lstm_residual,ensemble_residual
2011-11-10,71008.26,59170.76266441849,25705.46360361576,30114.839645760112,11837.497335581502,45302.796396384234,40893.42035423988
2011-11-11,55257.17,49487.69528237972,25643.625349646805,28785.311623466852,5769.47471762028,29613.544650353193,26471.858376533146
2011-11-12,0.0,20824.674393993904,25565.636531484128,24940.96902656265,-20824.674393993904,-25565.636531484128,-24940.96902656265
2011-11-13,34069.92,38504.93282673836,25494.746242547037,27208.96385416712,-4435.0128267383625,8575.173757452962,6860.956145832879
2011-11-14,114419.89,55068.27069008186,25437.206888753175,29341.38544073458,59351.61930991814,88982.68311124682,85078.50455926542
2011-11-15,60807.29,61046.23875522161,25393.107535713913,30090.751574128044,-238.94875522160874,35414.18246428609,30716.538425871957
2011-11-16,65958.17,55928.40860529441,25360.50358424783,29388.12000606604,10029.761394705587,40597.66641575217,36570.04999393396
2011-11-17,61103.13,64023.68837383481,25337.00807597041,30434.351474742038,-2920.558373834814,35766.12192402959,30668.77852525796
2011-11-18,51275.39,54900.16224751921,25320.418121427298,29217.83481103692,-3624.772247519213,25954.971878572702,22057.55518896308
2011-11-19,0.0,26806.300586953053,25308.890062463284,25506.18834687257,-26806.300586953053,-25308.890062463284,-25506.18834687257
2011-11-20,35058.57,45042.8902455332,25300.992911589146,27902.17836559053,-9984.3202455332,9757.577088410853,7156.391634409469
2011-11-21,49805.72,62125.65700400256,25295.640068346263,30148.35015507806,-12319.93700400256,24510.079931653738,19657.36984492194
2011-11-22,64089.82,68561.13680520144,25292.050724208355,30993.170298378867,-4471.316805201444,38797.769275791645,33096.649701621136
2011-11-23,80104.18,63813.68711361114,25289.66079697013,30365.57296434404,16290.492886388856,54814.519203029864,49738.60703565595
2011-11-24,50978.63,72167.57644219146,25288.0813667953,31464.907161111616,-21188.946442191467,25690.548633204697,19513.72283888838
2011-11-25,50822.73,63167.60809877438,25287.045236849786,30278.174885589484,-12344.878098774374,25535.684763150217,20544.55511441052
2011-11-26,0.0,35041.102158164125,25286.365369349718,26571.646060129555,-35041.102158164125,-25286.365369349718,-26571.646060129555
2011-11-27,20611.08,53070.56232225507,25285.920041292906,28946.814742715807,-32459.48232225507,-4674.840041292904,-8335.734742715806
2011-11-28,57165.19,69756.97725713633,25285.635031336547,31145.163452587723,-12591.787257136326,31879.554968663455,26020.02654741228
2011-11-29,72595.93,75596.29201021344,25285.447993552683,31914.387118347822,-3000.3620102134446,47310.48200644731,40681.542881652174
2011-11-30,60126.96,70046.92161496826,25285.32627055049,31183.098340695004,-9919.961614968262,34841.63372944951,28943.861659304996
2011-12-01,52197.25,77392.22816102242,25285.249080353977,32150.846329892047,-25194.978161022416,26912.000919646023,20046.403670107953
2011-12-02,57664.07,67181.40357285317,25285.19860984087,30805.427850435153,-9517.333572853175,32378.87139015913,26858.642149564846
2011-12-03,0.0,37651.57169681427,25285.165952450036,26914.559226885274,-37651.57169681427,-25285.165952450036,-26914.559226885274
2011-12-04,24621.43,54100.42968919338,25285.145170474054,29081.836930902213,-29478.999689193377,-663.7151704740536,-4460.4069309022125
2011-12-05,88741.96,69049.37561076689,25285.133295059204,31051.494480682286,19692.584389233118,63456.8267049408,57690.46551931772
2011-12-06,56713.21,73019.65925588817,25285.121419644354,31574.607347606587,-16306.449255888168,31428.088580355645,25138.602652393412
2011-12-07,75439.16,65499.43388079199,25285.118450790644,30583.74251765205,9939.726119208011,50154.04154920936,44855.417482347955
2011-12-08,82495.0,70805.63968763739,25285.115481936933,31282.883752102003,11689.360312362609,57209.88451806307,51212.116247898
2011-12-09,200938.6,58524.17470177567,25285.109544229508,29664.677086795597,142414.42529822432,175653.4904557705,171273.9229132044
