date,prophet_yhat,prophet_yhat_lower,prophet_yhat_upper,lstm_yhat,ensemble_yhat,prophet_quantity_forecast,lstm_quantity_forecast,ensemble_quantity_forecast,forecast_quantity,forecast_lower_quantity,forecast_upper_quantity
2011-12-10,28645.23982859918,-244.56317330606666,58766.16945645192,26189.971622866393,26513.476898696346,15598.326405446125,14261.347727135408,14437.5075678794,14437.5075678794,-133.1731284780892,32000.217078452093
2011-12-11,43935.295088449515,14432.229565905209,72066.7006283728,26119.654322695733,28467.036888297123,23924.291701164755,14223.057518829432,15501.288724984239,15501.288724984239,7858.849458909499,39242.81751841421
2011-12-12,58580.71459988228,30326.721369870873,87220.91504977377,25962.471331763267,30260.239600379784,31899.230478110898,14137.465929699114,16477.74978383949,16477.74978383949,16513.951412687376,47494.812767102296
2011-12-13,60379.47975609581,31557.32421670083,89577.85980480553,25802.63121675849,30358.464627516325,32878.72048068191,14050.427444371464,16531.236717222742,16531.236717222742,17184.057335876765,48778.250916985904
2011-12-14,51945.03617313986,22403.019571503883,78994.23129198902,25666.46177240014,29128.917499265237,28285.873472156753,13976.27846002855,15861.705669408251,15861.705669408251,12199.22101664611,43015.098187781776
2011-12-15,55505.67247841912,26441.741628061485,84432.7697772604,25559.146617269515,29504.89033937692,30224.76341104904,13917.841636738025,16066.435918299012,16066.435918299012,14398.44522548531,45976.57098289337
2011-12-16,43533.11809991432,15345.851897214707,71389.78688075412,25478.278011006118,27857.17739535453,23705.292384787306,13873.80587638141,15169.199083239262,15169.199083239262,8356.348499599748,38874.21450978629
2011-12-17,8762.964199616279,-19107.13068784647,37212.436060385044,25419.15922703743,23224.544824406334,4771.737876266126,13841.613648473583,12646.570004532583,12646.570004532583,-10404.495229360431,20263.4618346662
2011-12-18,22944.537905118785,-3555.3930914833118,52589.98287952259,25376.927282983066,25056.436513471806,12494.096527299902,13818.616890476855,13644.098552956142,13644.098552956142,-1936.0348271637042,28637.069318324233
2011-12-19,36778.71621830159,8435.829810487541,62987.66267929575,25347.31296720505,26853.510641754292,20027.28634073363,13802.490868612716,14622.667732179649,14622.667732179649,4593.60185748573,34298.96652521198
2011-12-20,38085.66515379823,10071.228922561002,67359.66052471714,25326.85162742138,27007.948413294354,20738.96535662281,13791.348959571349,14706.764454155998,14706.764454155998,5484.133384047785,36679.67095795001
2011-12-21,29494.17765331253,2796.259184121295,59389.67106196476,25312.900983828305,25863.824528198944,16060.602489257702,13783.752350374398,14083.749324425173,14083.749324425173,1522.6600904420989,32339.73532355329
2011-12-22,33240.5836612296,3443.953080669219,63067.8835989738,25303.486748707295,26349.275848235942,18100.650473093086,13778.62597289759,14348.09440197386,14348.09440197386,1875.351876917668,34342.649597763324
2011-12-23,21797.060642016244,-7670.376811953534,53969.170585604516,25297.195747691392,24836.019176366226,11869.255366960533,13775.200304694068,13524.07366958409,13524.07366958409,-4176.786156496543,29388.08484979016
2011-12-24,-12108.042288500572,-39483.28191101316,15660.575252762457,25293.018570518492,20365.067937150223,-6593.248891510948,13772.925686873232,11089.485682560227,11089.485682560227,-21500.01614548701,8527.726280223173
2011-12-25,3259.7674951533336,-24012.58501190001,31690.62723474261,25290.266443127395,22387.535644840213,1775.0564386792132,13771.42705807443,12190.789481648217,12190.789481648217,-13075.685213156634,17256.64545169246
2011-12-26,18579.230858711464,-9163.964575748825,45957.9973016717,25288.461380070446,24404.455524681136,10117.03546663902,13770.444138646519,13289.072296092727,13289.072296092727,-4990.096486389447,25025.723196646875
2011-12-27,21641.55363883132,-8073.680276345794,51396.506053637044,25287.27977629304,24806.920181790803,11784.576411276264,13769.800714415751,13508.228257984338,13508.228257984338,-4396.398878040489,27987.179800942282
2011-12-28,15040.397469809259,-13377.350249681016,43314.361057861366,25286.513812035322,23936.489124003994,8190.017971764476,13769.383620316408,13034.24836345258,13034.24836345258,-7284.431091624932,23586.171589644753
2011-12-29,20971.60189812746,-7483.945022474648,47878.2489139547,25286.015044611693,24717.549484825246,11419.764456832012,13769.112024158696,13459.56281441702,13459.56281441702,-4075.2675823095774,26071.366787281782
2011-12-30,11862.445564744292,-17076.862165008442,41266.83050832576,25285.69440841079,23517.05185866197,6459.512958972729,13768.93742662874,12805.850227826546,12805.850227826546,-9298.943615918792,22471.220204078338
2011-12-31,-19606.96464439583,-49733.35586059983,8685.914768001083,25285.48361979723,19370.47041493423,-10676.672151230656,13768.822644919228,10547.892842479205,10547.892842479205,-27081.536848483058,4729.781788941346
2012-01-01,-1752.5697507259356,-32135.991424768243,26705.720022166457,25285.350021380185,21722.843215272296,-954.3350023846299,13768.749895948413,11828.841404492376,11828.841404492376,-17499.161696865634,14542.19061494174
2012-01-02,16052.955240663217,-14363.387321870438,46055.67337994418,25285.260955768823,24068.815599641097,8741.390790028758,13768.701396634537,13106.304718065783,13106.304718065783,-7821.362469819408,25078.91120833798
2012-01-03,21549.653127893263,-6069.18500701795,50335.18248642732,25285.207516402006,24793.01218311391,11734.53339627564,13768.67229704621,13500.654870423028,13500.654870423028,-3304.881694863274,27409.25231553155
2012-01-04,17281.504190099993,-11232.742024604378,48273.46986900309,25285.17189015746,24230.611447060932,9410.378294865433,13768.652897320659,13194.408167511532,13194.408167511532,-6116.617545405244,26286.578302214257
2012-01-05,25397.33902156814,-3490.882119649784,52765.00097575275,25285.148139327765,25299.93037053983,13829.731789945587,13768.639964170292,13776.689401662394,13776.689401662394,-1900.9063659808705,28732.37274074949
2012-01-06,18281.221381979085,-8881.613851707996,47335.882611793866,25285.133295059204,24362.300323068903,9954.758972610616,13768.631880951312,13266.117327016906,13266.117327016906,-4836.346726193487,25776.029528350085
2012-01-07,-11425.139110561187,-40016.56851409815,17740.201704579686,25285.12438849807,20448.19297248235,-6221.384430380483,13768.627031019925,11134.750146789995,11134.750146789995,-21790.409193419055,9660.154997557855
2012-01-08,7929.635843671698,-21543.20775693811,37656.31947348309,25285.118450790644,22998.36616243839,4317.961689482039,13768.623797732333,12523.407879989967,12523.407879989967,-11731.023668287178,20505.171745454034
