StockCode,Description,total_units,mean_daily_units,std_daily_units,demand_share,forecast_units_30d,current_stock,safety_stock,reorder_point,target_stock_level,recommended_order_qty,days_of_cover,risk_flag,service_level
23843,"PAPER CRAFT , LITTLE BIRDIE",80995.0,109.60081190798377,2979.44923777653,0.1735174588620408,68235.49054104094,729,12967.340441075636,13734.546124431523,29656.160584007743,28927,6.651410580900055,Understock,0.95
85099B,JUMBO BAG RED RETROSPOT,98349.0,133.08389715832206,180.3101844029497,0.21069533380607264,82855.63626422416,838,784.7569666570516,1716.344246765306,21049.326041750945,20211,6.296779835077123,Understock,0.95
85123A,WHITE HANGING HEART T-LIGHT HOLDER,96147.0,130.1041948579161,206.96964735965216,0.20597793835679534,81000.52730476527,774,900.785905077158,1811.5152690825707,20711.638306861132,19938,5.949077974351774,Understock,0.95
84879,ASSORTED COLOUR BIRD ORNAMENT,81809.0,110.70230040595399,223.72295375162426,0.17526130985918512,68921.25743159477,814,973.7006655449264,1748.6167683866042,17830.243502425386,17016,7.353054064956178,Understock,0.95
22086,PAPER CHAIN KIT 50'S CHRISTMAS,36581.0,49.50067658998647,131.01890029806376,0.07836832103996932,30818.229267014245,398,570.2284378062519,916.7331739361572,8107.653336239481,7710,8.040294141767584,Understock,0.95
47566,PARTY BUNTING,28378.0,38.40054127198918,59.951600169222004,0.060794844713710654,23907.485037022776,269,260.9250057106891,529.7287946146133,6108.141969919928,5839,7.005109591937416,Understock,0.95
22423,REGENCY CAKESTAND 3 TIER,27577.0,37.31664411366712,55.92716790730588,0.05907884391676646,23232.670197546588,183,243.40962650548423,504.626135301154,5925.582514728691,5743,4.903977952641695,Understock,0.95
M,Manual,10050.0,13.599458728010825,93.37928195167066,0.021530347077764186,8466.777948483998,71,406.41099833409,501.60720943016577,2477.188730743099,2406,5.220796019900497,Understock,0.95
POST,POSTAGE,5461.0,7.389715832205684,8.807621871746674,0.011699226407131365,4600.703918076728,57,38.333068353409956,90.06107917884975,1163.5586600634197,1107,7.713422450100714,Understock,0.95
DOT,DOTCOM POSTAGE,1436.0,1.9431664411366711,3.2704667192452375,0.0030763759605641166,1209.7804113455743,11,14.233924448838545,27.836089536795242,310.1181855174293,299,5.660863509749304,Understock,0.95
