date,lstm_yhat,lstm_quantity_forecast
2011-12-10,26189.971622866393,14261.347727135408
2011-12-11,26119.654322695733,14223.057518829432
2011-12-12,25962.471331763267,14137.465929699114
2011-12-13,25802.63121675849,14050.427444371464
2011-12-14,25666.46177240014,13976.27846002855
2011-12-15,25559.146617269515,13917.841636738025
2011-12-16,25478.278011006118,13873.80587638141
2011-12-17,25419.15922703743,13841.613648473583
2011-12-18,25376.927282983066,13818.616890476855
2011-12-19,25347.31296720505,13802.490868612716
2011-12-20,25326.85162742138,13791.348959571349
2011-12-21,25312.900983828305,13783.752350374398
2011-12-22,25303.486748707295,13778.62597289759
2011-12-23,25297.195747691392,13775.200304694068
2011-12-24,25293.018570518492,13772.925686873232
2011-12-25,25290.266443127395,13771.42705807443
2011-12-26,25288.461380070446,13770.444138646519
2011-12-27,25287.27977629304,13769.800714415751
2011-12-28,25286.513812035322,13769.383620316408
2011-12-29,25286.015044611693,13769.112024158696
2011-12-30,25285.69440841079,13768.93742662874
2011-12-31,25285.48361979723,13768.822644919228
2012-01-01,25285.350021380185,13768.749895948413
2012-01-02,25285.260955768823,13768.701396634537
2012-01-03,25285.207516402006,13768.67229704621
2012-01-04,25285.17189015746,13768.652897320659
2012-01-05,25285.148139327765,13768.639964170292
2012-01-06,25285.133295059204,13768.631880951312
2012-01-07,25285.12438849807,13768.627031019925
2012-01-08,25285.118450790644,13768.623797732333
