ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,22340.39373572,37800.87475765326,97580.41666316614,22340.39373572,22340.39373572,44748.075408142104,44748.075408142104,44748.075408142104,11038.828269676107,11038.828269676107,11038.828269676107,33709.247138466,33709.247138466,33709.247138466,0.0,0.0,0.0,67088.46914386211
2009-12-02,22402.932136640764,35827.65936438251,91284.90628521932,22402.932136640764,22402.932136640764,39583.81182814309,39583.81182814309,39583.81182814309,5523.924267117941,5523.924267117941,5523.924267117941,34059.88756102515,34059.88756102515,34059.88756102515,0.0,0.0,0.0,61986.74396478385
2009-12-03,22465.470537561523,39319.07035521284,97458.98445215677,22465.470537561523,22465.470537561523,46325.14215452048,46325.14215452048,46325.14215452048,12170.915161719371,12170.915161719371,12170.915161719371,34154.22699280111,34154.22699280111,34154.22699280111,0.0,0.0,0.0,68790.61269208201
2009-12-04,22528.008938482286,31332.238753810816,90156.60095272723,22528.008938482286,22528.008938482286,37375.40924862084,37375.40924862084,37375.40924862084,3407.2293611261216,3407.2293611261216,3407.2293611261216,33968.17988749472,33968.17988749472,33968.17988749472,0.0,0.0,0.0,59903.418187103125
2009-12-05,22590.547339403045,-2062.571778640344,57049.210556758895,22590.547339403045,22590.547339403045,5403.387562234568,5403.387562234568,5403.387562234568,-28079.202161058867,-28079.202161058867,-28079.202161058867,33482.58972329344,33482.58972329344,33482.58972329344,0.0,0.0,0.0,27993.934901637615
2009-12-06,22653.08574032381,16286.403292074107,74051.96600129556,22653.08574032381,22653.08574032381,22094.856339553673,22094.856339553673,22094.856339553673,-10589.045029866664,-10589.045029866664,-10589.045029866664,32683.901369420335,32683.901369420335,32683.901369420335,0.0,0.0,0.0,44747.94207987748
2009-12-07,22715.62414124457,30507.146192030188,89027.80263507942,22715.62414124457,22715.62414124457,38092.05591649075,38092.05591649075,38092.05591649075,6527.350131375165,6527.350131375165,6527.350131375165,31564.705785115584,31564.705785115584,31564.705785115584,0.0,0.0,0.0,60807.68005773533
2009-12-08,22778.162542165333,36273.38258008405,95933.98178890298,22778.162542165333,22778.162542165333,41162.96821979752,41162.96821979752,41162.96821979752,11038.828269689353,11038.828269689353,11038.828269689353,30124.13995010816,30124.13995010816,30124.13995010816,0.0,0.0,0.0,63941.13076196285
2009-12-09,22840.700943086096,28242.93919552948,86155.82060468546,22840.700943086096,22840.700943086096,33892.052892288724,33892.052892288724,33892.052892288724,5523.924267128871,5523.924267128871,5523.924267128871,28368.128625159854,28368.128625159854,28368.128625159854,0.0,0.0,0.0,56732.753835374824
2009-12-10,22903.239344006855,35168.882946460115,92338.43101860309,22903.239344006855,22903.239344006855,38480.37381129879,38480.37381129879,38480.37381129879,12170.915161683153,12170.915161683153,12170.915161683153,26309.458649615648,26309.458649615648,26309.458649615648,0.0,0.0,0.0,61383.61315530565
2009-12-11,22965.77774492762,21466.558576336556,79919.73880501978,22965.77774492762,22965.77774492762,27374.910250851746,27374.910250851746,27374.910250851746,3407.2293611103923,3407.2293611103923,3407.2293611103923,23967.680889741354,23967.680889741354,23967.680889741354,0.0,0.0,0.0,50340.687995779364
2009-12-12,23028.316145848377,-15303.704708717876,47310.468523319185,23028.316145848377,23028.316145848377,-6710.362624721517,-6710.362624721517,-6710.362624721517,-28079.202161061414,-28079.202161061414,-28079.202161061414,21368.839536339892,21368.839536339892,21368.839536339892,0.0,0.0,0.0,16317.95352112686
2009-12-13,23090.85454676914,4375.560266056483,60655.941903294784,23090.85454676914,23090.85454676914,7955.988057790069,7955.988057790069,7955.988057790069,-10589.045029848468,-10589.045029848468,-10589.045029848468,18545.033087638538,18545.033087638538,18545.033087638538,0.0,0.0,0.0,31046.84260455921
2009-12-14,23153.3929476899,15297.487643390508,73943.50469914703,23153.3929476899,23153.3929476899,22061.166046477494,22061.166046477494,22061.166046477494,6527.35013137173,6527.35013137173,6527.35013137173,15533.815915105764,15533.815915105764,15533.815915105764,0.0,0.0,0.0,45214.5589941674
2009-12-15,23215.931348610666,18392.622412038985,77751.52406107118,23215.931348610666,23215.931348610666,23416.281939459226,23416.281939459226,23416.281939459226,11038.828269695327,11038.828269695327,11038.828269695327,12377.453669763898,12377.453669763898,12377.453669763898,0.0,0.0,0.0,46632.21328806989
2009-12-16,23278.469749531425,9955.218016731988,65251.781744391665,23278.469749531425,23278.469749531425,14645.974089877765,14645.974089877765,14645.974089877765,5523.924267128103,5523.924267128103,5523.924267128103,9122.049822749665,9122.049822749665,9122.049822749665,0.0,0.0,0.0,37924.44383940919
2009-12-17,23341.008150452188,10538.292384610664,71278.06825732642,23341.008150452188,23341.008150452188,17987.479394571754,17987.479394571754,17987.479394571754,12170.915161673911,12170.915161673911,12170.915161673911,5816.564232897846,5816.564232897846,5816.564232897846,0.0,0.0,0.0,41328.48754502394
2009-12-18,23403.546551372947,-490.03365264396103,59585.57384379946,23403.546551372947,23403.546551372947,5918.977056049934,5918.977056049934,5918.977056049934,3407.229361094662,3407.229361094662,3407.229361094662,2511.7476949552715,2511.7476949552715,2511.7476949552715,0.0,0.0,0.0,29322.52360742288
2009-12-19,23466.08495229371,-34648.80291555617,24406.148300866957,23466.08495229371,23466.08495229371,-28820.183304172377,-28820.183304172377,-28820.183304172377,-28079.20216106395,-28079.20216106395,-28079.20216106395,-740.9811431084282,-740.9811431084282,-740.9811431084282,0.0,0.0,0.0,-5354.098351878667
2009-12-20,23528.62335321447,-17657.135494032675,37249.57042178289,23528.62335321447,23528.62335321447,-14479.73339622416,-14479.73339622416,-14479.73339622416,-10589.045029830273,-10589.045029830273,-10589.045029830273,-3890.688366393885,-3890.688366393885,-3890.688366393885,0.0,0.0,0.0,9048.88995699031
2009-12-21,23591.16175413523,-3803.933178597405,51986.24158903496,23591.16175413523,23591.16175413523,-360.727632360563,-360.727632360563,-360.727632360563,6527.350131375555,6527.350131375555,6527.350131375555,-6888.077763736118,-6888.077763736118,-6888.077763736118,0.0,0.0,0.0,23230.43412177467
2009-12-22,23653.700155055994,-2652.06071771122,52598.91545403993,23653.700155055994,23653.700155055994,1352.213420116833,1352.213420116833,1352.213420116833,11038.828269682655,11038.828269682655,11038.828269682655,-9686.614849565824,-9686.614849565824,-9686.614849565824,0.0,0.0,0.0,25005.913575172828
2009-12-23,23716.238555976754,-12051.579731494361,45996.83541515923,23716.238555976754,23716.238555976754,-6719.668909757309,-6719.668909757309,-6719.668909757309,5523.924267109679,5523.924267109679,5523.924267109679,-12243.593176866987,-12243.593176866987,-12243.593176866987,0.0,0.0,0.0,16996.569646219446
2009-12-24,23778.776956897516,-7055.185201393931,51525.844026013525,23778.776956897516,23778.776956897516,-2350.200367421422,-2350.200367421422,-2350.200367421422,12170.915161669536,12170.915161669536,12170.915161669536,-14521.115529090957,-14521.115529090957,-14521.115529090957,0.0,0.0,0.0,21428.576589476095
2009-12-25,23841.31535781828,-17121.19273608963,39905.5308585922,23841.31535781828,23841.31535781828,-13079.735306076602,-13079.735306076602,-13079.735306076602,3407.22936105967,3407.22936105967,3407.22936105967,-16486.964667136275,-16486.964667136275,-16486.964667136275,0.0,0.0,0.0,10761.580051741677
2009-12-26,23903.853681712066,-52292.79608443853,5894.352169494937,23903.853681712066,23903.853681712066,-46194.54324345764,-46194.54324345764,-46194.54324345764,-28079.202161050795,-28079.202161050795,-28079.202161050795,-18115.34108240685,-18115.34108240685,-18115.34108240685,0.0,0.0,0.0,-22290.689561745578
2009-12-27,23966.392005605852,-34144.74955659617,22040.569107360694,23966.392005605852,23966.392005605852,-29976.493624339044,-29976.493624339044,-29976.493624339044,-10589.04502986553,-10589.04502986553,-10589.04502986553,-19387.448594473513,-19387.448594473513,-19387.448594473513,0.0,0.0,0.0,-6010.101618733192
2009-12-28,24028.930329499635,-17033.023180367305,39071.98516865183,24028.930329499635,24028.930329499635,-13764.562410022076,-13764.562410022076,-13764.562410022076,6527.35013137212,6527.35013137212,6527.35013137212,-20291.912541394195,-20291.912541394195,-20291.912541394195,0.0,0.0,0.0,10264.36791947756
2009-12-29,24091.468653393422,-12880.252864328415,43078.47295886028,24091.468653393422,24091.468653393422,-9786.19136764125,-9786.19136764125,-9786.19136764125,11038.828269669986,11038.828269669986,11038.828269669986,-20825.019637311234,-20825.019637311234,-20825.019637311234,0.0,0.0,0.0,14305.277285752172
2009-12-30,24154.006977287212,-20417.137989671402,36200.81715354952,24154.006977287212,24154.006977287212,-15466.848931460801,-15466.848931460801,-15466.848931460801,5523.924267091255,5523.924267091255,5523.924267091255,-20990.77319855206,-20990.77319855206,-20990.77319855206,0.0,0.0,0.0,8687.15804582641
2009-12-31,24216.545301181,-10716.649755822382,44733.30929279585,24216.545301181,24216.545301181,-8629.847079271436,-8629.847079271436,-8629.847079271436,12170.915161687275,12170.915161687275,12170.915161687275,-20800.762240958713,-20800.762240958713,-20800.762240958713,0.0,0.0,0.0,15586.698221909563
2010-01-01,24279.083625074785,-21085.420155196894,37383.9217411003,24279.083625074785,24279.083625074785,-16866.618436034245,-16866.618436034245,-16866.618436034245,3407.22936111859,3407.22936111859,3407.22936111859,-20273.847797152834,-20273.847797152834,-20273.847797152834,0.0,0.0,0.0,7412.46518904054
2010-01-02,24341.62194896857,-53194.52749675144,5293.026449241762,24341.62194896857,24341.62194896857,-47514.87672271087,-47514.87672271087,-47514.87672271087,-28079.202161061054,-28079.202161061054,-28079.202161061054,-19435.67456164981,-19435.67456164981,-19435.67456164981,0.0,0.0,0.0,-23173.254773742297
2010-01-03,24404.16027286236,-33573.73262655238,25075.126910814684,24404.16027286236,24404.16027286236,-28907.065544589797,-28907.065544589797,-28907.065544589797,-10589.045029900792,-10589.045029900792,-10589.045029900792,-18318.020514689008,-18318.020514689008,-18318.020514689008,0.0,0.0,0.0,-4502.905271727439
2010-01-04,24466.69859675614,-12546.590318828288,43923.14318843877,24466.69859675614,24466.69859675614,-10430.65124789566,-10430.65124789566,-10430.65124789566,6527.350131386029,6527.350131386029,6527.350131386029,-16958.00137928169,-16958.00137928169,-16958.00137928169,0.0,0.0,0.0,14036.047348860482
2010-01-05,24529.236920649928,-9729.260737801047,48030.31246811738,24529.236920649928,24529.236920649928,-4358.322246584941,-4358.322246584941,-4358.322246584941,11038.828269683236,11038.828269683236,11038.828269683236,-15397.150516268177,-15397.150516268177,-15397.150516268177,0.0,0.0,0.0,20170.91467406499
2010-01-06,24591.775244543715,-12849.605894030432,47928.30333731313,24591.775244543715,24591.775244543715,-8156.473790543165,-8156.473790543165,-8156.473790543165,5523.924267090484,5523.924267090484,5523.924267090484,-13680.398057633649,-13680.398057633649,-13680.398057633649,0.0,0.0,0.0,16435.30145400055
