ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-12-10,29348.881753115395,459.8950660726938,57065.93220116117,29348.881753115395,29348.881753115395,-703.641924516214,-703.641924516214,-703.641924516214,-28079.202161053443,-28079.202161053443,-28079.202161053443,27375.56023653723,27375.56023653723,27375.56023653723,0.0,0.0,0.0,28645.23982859918
2011-12-11,29351.861790034487,17680.92482881222,71832.83584188983,29351.469989107423,29352.223779465003,14583.433298415028,14583.433298415028,14583.433298415028,-10589.045029859173,-10589.045029859173,-10589.045029859173,25172.478328274203,25172.478328274203,25172.478328274203,0.0,0.0,0.0,43935.295088449515
2011-12-12,29354.841826953572,29375.120717366248,88596.92760311681,29352.95044892176,29357.21625100644,29225.872772928706,29225.872772928706,29225.872772928706,6527.3501313597,6527.3501313597,6527.3501313597,22698.52264156901,22698.52264156901,22698.52264156901,0.0,0.0,0.0,58580.71459988228
2011-12-13,29357.821863872665,32561.52146283476,88359.4024479594,29353.764784172774,29361.993262176737,31021.65789222315,31021.65789222315,31021.65789222315,11038.828269663542,11038.828269663542,11038.828269663542,19982.82962255961,19982.82962255961,19982.82962255961,0.0,0.0,0.0,60379.47975609581
2011-12-14,29360.801900791754,23508.165842631464,80781.26300268537,29354.430162002278,29367.889855109584,22584.2342723481,22584.2342723481,22584.2342723481,5523.924267127527,5523.924267127527,5523.924267127527,17060.310005220574,17060.310005220574,17060.310005220574,0.0,0.0,0.0,51945.03617313986
2011-12-15,29363.78193771084,28335.291017956413,83502.00817943765,29354.0386320681,29373.90299640817,26141.89054070828,26141.89054070828,26141.89054070828,12170.915161681558,12170.915161681558,12170.915161681558,13970.975379026719,13970.975379026719,13970.975379026719,0.0,0.0,0.0,55505.67247841912
2011-12-16,29366.76197462993,14293.530037526194,72105.87255871674,29353.866129552433,29380.01186365933,14166.356125284388,14166.356125284388,14166.356125284388,3407.2293611012865,3407.2293611012865,3407.2293611012865,10759.126764183104,10759.126764183104,10759.126764183104,0.0,0.0,0.0,43533.11809991432
2011-12-17,29369.74201154902,-19646.69729979656,40648.26020961767,29355.01707081637,29385.39128280564,-20606.77781193274,-20606.77781193274,-20606.77781193274,-28079.202161071433,-28079.202161071433,-28079.202161071433,7472.424349138694,7472.424349138694,7472.424349138694,0.0,0.0,0.0,8762.964199616279
2011-12-18,29372.722048468113,-7332.108016919467,53061.84679656983,29355.625934224638,29391.288858391457,-6428.184143349327,-6428.184143349327,-6428.184143349327,-10589.045029840976,-10589.045029840976,-10589.045029840976,4160.860886491647,4160.860886491647,4160.860886491647,0.0,0.0,0.0,22944.537905118785
2011-12-19,29375.702085387198,8882.781646001673,65197.28776074194,29355.17067133289,29398.768621508887,7403.014132914394,7403.014132914394,7403.014132914394,6527.3501313909555,6527.3501313909555,6527.3501313909555,875.6640015234393,875.6640015234393,875.6640015234393,0.0,0.0,0.0,36778.71621830159
