date,total_price,quantity,invoice_count,customer_count,week_of_year,month,year,lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_std_4,rolling_mean_12,rolling_std_12
2009-11-30,267053.53,145410,551,427,49,11,2009,,,,,,,,
2009-12-07,241631.47,116874,531,411,50,12,2009,267053.53,,,,267053.53,,267053.53,
2009-12-14,261738.39,136835,492,359,51,12,2009,241631.47,267053.53,,,254342.5,17976.11101773129,254342.5,17976.11101773129
2009-12-21,55262.37,27862,108,54,52,12,2009,261738.39,241631.47,,,256807.79666666666,13409.077023603586,256807.79666666666,13409.077023603586
2009-12-28,0.0,0,0,0,53,12,2009,55262.37,261738.39,267053.53,,206421.44,101365.71733240057,206421.44,101365.71733240057
2010-01-04,168520.11,96212,205,167,1,1,2010,0.0,55262.37,241631.47,,139658.0575,131566.44649944842,165137.152,127390.02577152115
2010-01-11,163999.72,76508,269,198,2,1,2010,168520.11,0.0,261738.39,,121380.2175,116943.45216219085,165700.97833333333,113949.4727221676
2010-01-18,154221.301,135683,267,220,3,1,2010,163999.72,168520.11,55262.37,,96945.54999999999,83176.73255043018,165457.94142857144,104023.14844916113
2010-01-25,165967.371,83122,364,277,4,1,2010,154221.301,163999.72,0.0,267053.53,121685.28275,81342.71769255745,164053.361375,96388.62692748646
2010-02-01,124664.072,65199,295,226,5,2,2010,165967.371,154221.301,168520.11,241631.47,163177.1255,6250.770819233165,164266.02911111113,90165.56174027442
2010-02-08,91110.61,50992,279,226,6,2,2010,124664.072,165967.371,163999.72,261738.39,152213.116,19070.799640340112,160305.8334,85926.39724906761
2010-02-15,175148.652,176507,313,234,7,2,2010,91110.61,124664.072,154221.301,55262.37,133990.8385,33453.81300263186,154015.35854545457,84144.41147596476
2010-02-22,162416.402,90083,314,240,8,2,2010,175148.652,91110.61,165967.371,0.0,139222.67625000002,38870.204130382255,155776.46633333334,80460.16400617949
2010-03-01,166425.13,101698,389,298,9,3,2010,162416.402,175148.652,124664.072,168520.11,138334.934,38088.476731152135,147056.70566666668,72589.32493849406
2010-03-08,142176.34,76256,302,244,10,3,2010,166425.13,162416.402,91110.61,163999.72,148775.1985,38808.78908732782,140789.51066666667,66688.37165893537
2010-03-15,190300.321,156624,354,273,11,3,2010,142176.34,166425.13,175148.652,154221.301,161541.631,13961.605719431056,130826.0065,54857.47066053297
